Season,Player,Team,Games Played,Minutes per Game,Age,Games Started,Minutes per Game,Player Per Game Field Goals Made,Player Per Game Field Goals Attempted,Player Per Game Field Goal Percentage,Player Per Game 3 Pointers Made,Player Per Game 3 Pointers Attempted,Player Per Game Two Pointers Made,Player Per Game Two Pointers Attempted,Player Per Game Two Pointers Percentage,Player Per Game Effective Field Goal Percentage,Player Per Game Free Throws Made,Player Per Game Free Throws Attempted,Player Per Game Free Throw Percentage,Player Per Game Offensive Rebounds,Player Per Game Defensive Rebounds,Player Per Game Total Rebounds,Player Per Game Assists,Player Per Game Steals,Player Per Game Blocks,Player Per Game Turnovers,Player Per Game Personal Fouls,Player Per Game Points Per Game,Player Per Game 3 Pointers Percentage,Position
2001,Michael Finley,Dallas,82,42.0,27,82,42.0,8.7,18.9,.458,1.1,3.2,7.6,15.7,.481,.487,3.1,4.0,.775,1.3,3.9,5.2,4.4,1.4,0.4,2.3,2.1,21.5,.346,SF
2001,Keith Van Horn,Brooklyn,49,35.4,25,47,35.4,6.3,14.4,.435,1.3,3.5,5.0,11.0,.452,.481,3.1,3.8,.806,1.6,5.5,7.1,1.7,0.8,0.4,2.1,3.1,17.0,.382,SF
2001,Darius Miles,LA,81,26.3,19,21,26.3,3.9,7.8,.505,0.0,0.2,3.9,7.5,.519,.506,1.5,2.9,.521,1.6,4.3,5.9,1.2,0.6,1.5,1.8,2.4,9.4,.053,SF
2001,Horace Grant,LA Lakers,77,31.0,35,77,31.0,3.4,7.4,.462,0.0,0.0,3.4,7.4,.465,.462,1.7,2.2,.775,2.9,4.2,7.1,1.6,0.7,0.8,0.6,2.4,8.5,.000,PF
2001,Billy Owens,Detroit,45,17.6,31,14,17.6,2.0,5.1,.383,0.1,0.4,1.9,4.7,.405,.389,0.4,0.9,.475,1.9,2.7,4.6,1.2,0.7,0.3,0.9,2.1,4.4,.150,PF
2001,Evan Eschmeyer,Brooklyn,74,18.0,25,51,18.0,1.2,2.7,.460,0.0,0.0,1.2,2.7,.460,.460,0.9,1.4,.657,1.8,3.1,4.9,0.5,0.6,0.8,0.7,3.0,3.4,,C
2001,Grant Long,Memphis,66,22.8,34,27,22.8,2.1,4.8,.439,0.1,0.2,2.1,4.6,.447,.445,1.7,2.4,.713,1.2,3.0,4.2,1.3,1.1,0.2,0.9,2.4,6.0,.267,PF
2001,Cory Alexander,Orlando,26,8.7,27,0,8.7,0.7,2.2,.321,0.2,0.6,0.5,1.5,.350,.357,0.5,0.7,.667,0.0,1.0,1.0,1.4,0.6,0.0,1.0,1.1,2.0,.250,PG
2001,Eric Montross,Toronto,12,6.8,29,1,6.8,0.5,1.4,.353,0.0,0.0,0.5,1.4,.353,.353,0.1,0.4,.200,0.8,1.7,2.4,0.3,0.3,0.3,0.3,1.3,1.1,,C
2001,Sean Elliott,San Antonio,52,23.6,32,34,23.6,2.8,6.5,.434,1.1,2.5,1.8,4.0,.438,.515,1.2,1.6,.714,0.3,2.9,3.3,1.6,0.4,0.5,1.0,1.5,7.9,.426,SF
2001,Chris Porter,Golden State,51,22.5,22,35,22.5,3.4,8.7,.389,0.0,0.1,3.4,8.6,.393,.389,1.8,2.8,.667,1.7,2.0,3.7,1.2,0.9,0.1,1.2,2.2,8.6,.000,SF
2001,Ruben Wolkowyski,Oklahoma City,34,9.0,27,1,9.0,0.7,2.3,.316,0.0,0.1,0.7,2.3,.325,.316,0.7,1.0,.735,0.4,1.0,1.4,0.1,0.2,0.5,0.4,1.1,2.2,.000,PF
2001,Metta World Peace,Chicago,76,31.1,21,74,31.1,4.3,10.7,.401,0.6,1.9,3.7,8.8,.426,.428,2.8,3.7,.750,0.8,3.1,3.9,3.0,2.0,0.6,2.1,3.3,11.9,.291,SF
2001,Jelani McCoy,Oklahoma City,70,16.3,23,44,16.3,2.0,3.8,.523,0.0,0.0,2.0,3.8,.523,.523,0.6,1.3,.441,1.3,2.3,3.6,0.8,0.3,0.7,1.1,2.0,4.5,,C
2001,Patrick Ewing,Oklahoma City,79,26.7,38,79,26.7,3.7,8.7,.430,0.0,0.0,3.7,8.6,.431,.430,2.2,3.2,.685,1.6,5.8,7.4,1.2,0.7,1.2,1.9,2.9,9.6,.000,C
2001,Zendon Hamilton,LA,3,6.3,25,0,6.3,0.7,3.0,.222,0.0,0.0,0.7,3.0,.222,.222,1.7,2.7,.625,1.0,1.7,2.7,0.0,0.0,0.0,0.7,1.3,3.0,,C
