Season,Team,Points Per Game,Opponent Points Per Game,Point Differential,Own FG%,Opponent FG%,Own 3p%,Opponent 3p%,FT%,Offensive Rebounds,Defensive Rebounds,Rebounding %,Own Turnovers,Opponent Turnovers,Offensive adjusted field goal %,Offensive ppg,Offensive FGM,Offensive FGA,Offensive 3pm,Offensive 3pa,Offensive FTA,Offensive FTM,Offensive PPS,Opponent adjusted field goal %,Opponent ppg,Opponent FGM,Opponent FGA,Opponent 3pm,Opponent 3pa,Opponent FTA,Opponent FTM,Opponent PPS,Opponent APG,Team APG,Team SPG,Opponent SPG,Team BPG,Opponent BPG,Team TPG,Opponent TPG,Team ATO,Team Techs
2010,Phoenix,110.2,105.3,+4.9,.492,.452,.412,.355,.770,.276,.708,.504,14.8,13.0,.546,110.2,40.7,82.8,8.9,21.6,25.8,19.9,1.33,.491,105.3,39.5,87.4,6.8,19.3,25.8,19.6,1.21,20.8,23.3,5.8,7.9,5.1,4.5,14.8,13.0,1.58,82
2010,Sacramento,100.0,104.4,-4.4,.456,.469,.349,.357,.726,.278,.735,.503,15.0,13.7,.491,100.0,38.3,84.1,5.9,16.9,24.0,17.4,1.19,.505,104.4,39.0,83.3,6.1,17.0,26.2,20.3,1.25,20.5,20.5,6.9,7.1,4.5,5.7,15.0,13.7,1.37,57
2010,Chicago,97.5,99.1,-1.6,.451,.442,.330,.348,.754,.266,.748,.510,14.3,13.3,.477,97.5,37.6,83.2,4.3,13.0,23.9,18.0,1.17,.484,99.1,37.1,84.0,7.1,20.5,23.9,17.8,1.18,20.9,20.8,6.5,7.0,5.8,5.3,14.3,13.3,1.45,68
2010,Utah,104.2,98.9,+5.3,.491,.449,.364,.354,.741,.268,.756,.519,15.2,15.1,.524,104.2,39.4,80.2,5.4,14.7,27.2,20.2,1.30,.492,98.9,35.5,78.9,6.7,19.0,27.9,21.2,1.25,19.9,26.7,8.2,7.7,4.9,5.4,15.2,15.1,1.76,38
2010,Brooklyn,92.4,101.5,-9.1,.429,.481,.318,.366,.780,.251,.718,.474,14.4,14.0,.458,92.4,34.3,79.9,4.6,14.5,24.6,19.2,1.16,.517,101.5,38.7,80.4,5.7,15.6,24.6,18.4,1.26,23.9,18.8,7.0,7.8,4.8,5.1,14.4,14.0,1.30,38
2010,New York,102.1,105.9,-3.8,.455,.486,.346,.352,.782,.235,.721,.474,14.0,14.4,.509,102.1,38.1,83.9,9.1,26.2,21.5,16.8,1.22,.526,105.9,40.9,84.2,6.7,19.2,23.1,17.4,1.26,21.0,21.6,7.1,7.1,3.7,4.5,14.0,14.4,1.54,45
2010,Atlanta,101.7,97.0,+4.7,.468,.460,.360,.345,.759,.282,.727,.502,12.0,13.8,.506,101.7,38.8,82.9,6.4,17.7,23.3,17.7,1.23,.496,97.0,37.2,80.8,5.9,17.0,22.6,16.8,1.20,21.0,21.8,7.2,6.2,5.0,4.4,12.0,13.8,1.83,43
2010,Memphis,102.5,104.0,-1.5,.469,.478,.337,.354,.733,.313,.733,.523,15.2,14.2,.494,102.5,39.3,83.8,4.2,12.4,26.9,19.7,1.22,.520,104.0,40.0,83.5,7.0,19.7,22.7,17.1,1.25,22.9,18.8,7.9,7.7,4.9,6.1,15.2,14.2,1.24,51
2010,San Antonio,101.4,96.3,+5.1,.473,.452,.358,.343,.740,.268,.763,.520,13.6,12.6,.515,101.4,38.4,81.2,6.8,18.9,24.0,17.8,1.25,.483,96.3,36.9,81.6,5.0,14.6,23.1,17.5,1.18,19.2,22.3,6.3,6.9,4.6,5.1,13.6,12.6,1.64,45
2010,Toronto,104.1,105.9,-1.8,.482,.468,.371,.366,.764,.247,.729,.495,13.4,12.7,.521,104.1,39.0,80.9,6.3,17.0,25.8,19.7,1.29,.513,105.9,39.0,83.2,7.4,20.3,26.2,20.5,1.27,23.0,22.0,5.7,7.1,4.7,4.4,13.4,12.7,1.64,75
2010,LA Lakers,101.7,97.0,+4.7,.457,.446,.341,.328,.765,.276,.744,.512,13.4,14.1,.496,101.7,38.3,83.8,6.5,19.0,24.2,18.5,1.21,.484,97.0,37.2,83.4,6.3,19.3,21.7,16.2,1.16,21.9,21.1,7.5,7.0,4.9,4.4,13.4,14.1,1.58,77
2010,Charlotte,95.3,93.8,+1.5,.453,.448,.346,.338,.751,.265,.742,.507,15.7,15.3,.490,95.3,34.9,76.9,5.6,16.2,26.6,20.0,1.24,.491,93.8,35.7,79.7,7.0,20.7,20.9,15.5,1.18,20.3,20.2,7.7,7.5,5.4,6.1,15.7,15.3,1.29,69
2010,Miami,96.5,94.2,+2.3,.458,.439,.346,.342,.752,.261,.749,.507,13.2,14.4,.496,96.5,36.4,79.5,6.0,17.4,23.5,17.7,1.21,.480,94.2,34.3,78.1,6.4,18.7,25.5,19.2,1.21,18.8,18.9,7.4,6.3,5.6,4.3,13.2,14.4,1.43,67
