W-L%,PTS,SOS,Season
0.867,,6.83,1965-66* RTF
0.867,,6.83,1965-66* RTF
0.867,,6.83,1965-66* RTF
0.867,,6.83,1965-66* RTF
W-L%,PTS,SOS,Season
0.8,,2.71,1964-65 R
0.8,,2.71,1964-65 R
0.8,,2.71,1964-65 R
0.8,,2.71,1964-65 R
0.8,,2.71,1964-65 R
0.8,,2.71,1964-65 R
0.8,,2.71,1964-65 R
0.8,,2.71,1964-65 R
0.8,,2.71,1964-65 R
0.8,,2.71,1964-65 R
0.8,,2.71,1964-65 R
0.8,,2.71,1964-65 R
0.8,,2.71,1964-65 R
0.8,,2.71,1964-65 R
W-L%,PTS,SOS,Season
0.839,,4.06,1963-64* RTF
0.839,,4.06,1963-64* RTF
0.839,,4.06,1963-64* RTF
0.839,,4.06,1963-64* RTF
0.839,,4.06,1963-64* RTF
0.839,,4.06,1963-64* RTF
0.839,,4.06,1963-64* RTF
0.839,,4.06,1963-64* RTF
0.839,,4.06,1963-64* RTF
0.839,,4.06,1963-64* RTF
0.839,,4.06,1963-64* RTF
0.839,,4.06,1963-64* RTF
0.839,,4.06,1963-64* RTF
0.839,,4.06,1963-64* RTF
W-L%,PTS,SOS,Season
0.9,,2.15,1962-63* RTF
0.9,,2.15,1962-63* RTF
0.9,,2.15,1962-63* RTF
0.9,,2.15,1962-63* RTF
0.9,,2.15,1962-63* RTF
0.9,,2.15,1962-63* RTF
0.9,,2.15,1962-63* RTF
0.9,,2.15,1962-63* RTF
